subject_nr	trial_nb	PW_code_left	PW_code_right	label_left	label_right	chosen_label	chosen_PW_code	chosen_PW	context	contrast	C	V	mode	place	voicing	response_time
52	7	a_occ_alv_NV	a_frac_alv_NV	a_bird	a_fish	a_bird	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	952.4086099
54	6	a_frac_alv_NV	a_occ_alv_NV	a_fish	a_bird	a_fish	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	682.5764924
56	13	a_frac_alv_NV	a_occ_alv_NV	a_bird	a_fish	a_bird	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	750.0439687
1	5	i_fric_alv_NV	a_frac_alv_NV	a_fish	a_bird	a_fish	a_frac_alv_NV	asas	_s_s	i-a	s	a	fricative	medium	voiceless	794.7970659
3	9	i_fric_alv_NV	a_frac_alv_NV	a_fish	a_bird	a_bird	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	712.1865738
5	11	i_fric_alv_NV	a_frac_alv_NV	a_fish	a_bird	a_bird	a_frac_alv_NV	asas	_s_s	i-a	s	a	fricative	medium	voiceless	671.5295674
7	12	a_frac_alv_NV	i_fric_alv_NV	a_bird	a_fish	a_bird	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	1142.895784
11	7	a_frac_alv_NV	i_fric_alv_NV	a_bird	a_fish	a_fish	a_frac_alv_NV	asas	_s_s	i-a	s	a	fricative	medium	voiceless	946.3642961
13	8	i_fric_alv_NV	a_frac_alv_NV	a_bird	a_fish	a_fish	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	1096.89229
17	9	i_fric_alv_NV	a_frac_alv_NV	a_fish	a_bird	a_fish	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	704.4898043
19	9	i_fric_alv_NV	a_frac_alv_NV	a_fish	a_bird	a_bird	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	1064.873292
21	12	i_fric_alv_NV	a_frac_alv_NV	a_fish	a_bird	a_fish	a_frac_alv_NV	asas	_s_s	i-a	s	a	fricative	medium	voiceless	1278.442424
23	4	a_frac_alv_NV	i_fric_alv_NV	a_fish	a_bird	a_bird	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	757.8335024
25	4	i_fric_alv_NV	a_frac_alv_NV	a_bird	a_fish	a_bird	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	636.2534796
29	13	a_frac_alv_NV	i_fric_alv_NV	a_bird	a_fish	a_bird	a_frac_alv_NV	asas	_s_s	i-a	s	a	fricative	medium	voiceless	2350.811524
31	5	a_frac_alv_NV	i_fric_alv_NV	a_bird	a_fish	a_fish	a_frac_alv_NV	asas	_s_s	i-a	s	a	fricative	medium	voiceless	546.9109627
35	9	i_fric_alv_NV	a_frac_alv_NV	a_bird	a_fish	a_bird	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	947.8438864
37	13	a_frac_alv_NV	i_fric_alv_NV	a_fish	a_bird	a_fish	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	890.7259427
39	8	a_frac_alv_NV	i_fric_alv_NV	a_bird	a_fish	a_bird	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	812.9337808
43	8	i_fric_alv_NV	a_frac_alv_NV	a_fish	a_bird	a_bird	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	639.5468443
45	9	a_frac_alv_NV	i_fric_alv_NV	a_bird	a_fish	a_fish	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	802.6745421
47	5	a_frac_alv_NV	i_fric_alv_NV	a_bird	a_fish	a_fish	a_frac_alv_NV	asas	_s_s	i-a	s	a	fricative	medium	voiceless	702.7828464
49	4	a_frac_alv_NV	i_fric_alv_NV	a_fish	a_bird	a_bird	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	440.7316544
1	2	a_frac_uvu	a_occ_alv_V	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	724.1756961
2	1	a_frac_uvu	a_occ_alv_V	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	a_occ_alv_V	adad			d	a	plosive	medium	voiced	2690.018302
3	0	a_occ_alv_V	a_frac_uvu	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_occ_alv_V	adad			d	a	plosive	medium	voiced	1809.405964
4	3	a_occ_alv_V	a_frac_uvu	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	3008.180466
5	3	a_occ_alv_V	a_frac_uvu	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	691.3419289
6	2	a_frac_uvu	a_occ_alv_V	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	739.6314768
7	1	a_frac_uvu	a_occ_alv_V	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	a_occ_alv_V	adad			d	a	plosive	medium	voiced	3007.846083
8	2	a_frac_uvu	a_occ_alv_V	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	707.7756972
10	3	a_frac_uvu	a_occ_alv_V	an_attractive_animal	a_repulsive_animal	an_attractive_animal	a_occ_alv_V	adad			d	a	plosive	medium	voiced	515.5464945
11	0	a_frac_uvu	a_occ_alv_V	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	624.038897
12	0	a_frac_uvu	a_occ_alv_V	a_repulsive_animal	an_attractive_animal	an_attractive_animal	a_occ_alv_V	adad			d	a	plosive	medium	voiced	1294.69344
13	2	a_frac_uvu	a_occ_alv_V	a_repulsive_animal	an_attractive_animal	an_attractive_animal	a_occ_alv_V	adad			d	a	plosive	medium	voiced	1092.324154
16	2	a_occ_alv_V	a_frac_uvu	an_attractive_animal	a_repulsive_animal	an_attractive_animal	a_occ_alv_V	adad			d	a	plosive	medium	voiced	1060.03765
17	1	a_occ_alv_V	a_frac_uvu	a_repulsive_animal	an_attractive_animal	an_attractive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	3005.944073
19	1	a_occ_alv_V	a_frac_uvu	an_attractive_animal	a_repulsive_animal	an_attractive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	837.1064543
20	0	a_occ_alv_V	a_frac_uvu	a_repulsive_animal	an_attractive_animal	an_attractive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	2047.259251
21	1	a_frac_uvu	a_occ_alv_V	an_attractive_animal	a_repulsive_animal	an_attractive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	1756.250646
22	3	a_frac_uvu	a_occ_alv_V	a_repulsive_animal	an_attractive_animal	an_attractive_animal	a_occ_alv_V	adad			d	a	plosive	medium	voiced	3006.134108
23	2	a_occ_alv_V	a_frac_uvu	an_attractive_animal	a_repulsive_animal	an_attractive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	731.9280858
24	3	a_frac_uvu	a_occ_alv_V	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	827.0286126
25	0	a_frac_uvu	a_occ_alv_V	a_repulsive_animal	an_attractive_animal	an_attractive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	576.9213452
26	1	a_occ_alv_V	a_frac_uvu	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	1676.083136
28	1	a_occ_alv_V	a_frac_uvu	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	3001.588154
29	3	a_frac_uvu	a_occ_alv_V	an_attractive_animal	a_repulsive_animal	an_attractive_animal	a_occ_alv_V	adad			d	a	plosive	medium	voiced	1475.764181
30	2	a_occ_alv_V	a_frac_uvu	an_attractive_animal	a_repulsive_animal	an_attractive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	1028.314961
31	2	a_occ_alv_V	a_frac_uvu	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	1628.210739
32	1	a_frac_uvu	a_occ_alv_V	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	1355.840088
35	1	a_occ_alv_V	a_frac_uvu	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	3015.006424
36	2	a_frac_uvu	a_occ_alv_V	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_occ_alv_V	adad			d	a	plosive	medium	voiced	3008.971814
37	0	a_frac_uvu	a_occ_alv_V	a_repulsive_animal	an_attractive_animal	an_attractive_animal	a_occ_alv_V	adad			d	a	plosive	medium	voiced	3018.523303
38	2	a_occ_alv_V	a_frac_uvu	an_attractive_animal	a_repulsive_animal	an_attractive_animal	a_occ_alv_V	adad			d	a	plosive	medium	voiced	701.9858478
39	2	a_frac_uvu	a_occ_alv_V	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	992.9778433
43	1	a_frac_uvu	a_occ_alv_V	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	1245.703637
45	1	a_occ_alv_V	a_frac_uvu	a_repulsive_animal	an_attractive_animal	an_attractive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	860.8380446
46	0	a_frac_uvu	a_occ_alv_V	a_repulsive_animal	an_attractive_animal	an_attractive_animal	a_occ_alv_V	adad			d	a	plosive	medium	voiced	3010.802769
47	2	a_occ_alv_V	a_frac_uvu	an_attractive_animal	a_repulsive_animal	an_attractive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	1310.78175
49	3	a_occ_alv_V	a_frac_uvu	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_occ_alv_V	adad			d	a	plosive	medium	voiced	515.0866704
50	2	a_occ_alv_V	a_frac_uvu	an_attractive_animal	a_repulsive_animal	an_attractive_animal	a_occ_alv_V	adad			d	a	plosive	medium	voiced	763.4780305
52	2	a_frac_uvu	a_occ_alv_V	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_occ_alv_V	adad			d	a	plosive	medium	voiced	1043.639592
54	1	a_frac_uvu	a_occ_alv_V	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_occ_alv_V	adad			d	a	plosive	medium	voiced	1652.817412
56	3	a_frac_uvu	a_occ_alv_V	a_repulsive_animal	an_attractive_animal	an_attractive_animal	a_frac_uvu	aʁaʁ			ʁ	a	ʁ	ʁ	ʁ	770.8190172
2	10	i_nas_alv	a_nas_alv	a_repulsive_animal	an_attractive_animal	an_attractive_animal	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	589.7573505
4	8	i_nas_alv	a_nas_alv	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	871.1698242
6	11	a_nas_alv	i_nas_alv	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	517.7669966
8	13	i_nas_alv	a_nas_alv	a_repulsive_animal	an_attractive_animal	an_attractive_animal	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	3002.922375
10	13	i_nas_alv	a_nas_alv	an_attractive_animal	a_repulsive_animal	an_attractive_animal	i_nas_alv	inin	_n_n	i-a	n	i	sonorant	medium	voiced	492.040028
12	10	i_nas_alv	a_nas_alv	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	2703.094334
16	7	a_nas_alv	i_nas_alv	a_repulsive_animal	an_attractive_animal	an_attractive_animal	i_nas_alv	inin	_n_n	i-a	n	i	sonorant	medium	voiced	630.8960671
20	12	i_nas_alv	a_nas_alv	an_attractive_animal	a_repulsive_animal	an_attractive_animal	i_nas_alv	inin	_n_n	i-a	n	i	sonorant	medium	voiced	556.8547202
22	5	a_nas_alv	i_nas_alv	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	641.015624
24	11	i_nas_alv	a_nas_alv	an_attractive_animal	a_repulsive_animal	an_attractive_animal	i_nas_alv	inin	_n_n	i-a	n	i	sonorant	medium	voiced	1028.99697
26	6	a_nas_alv	i_nas_alv	a_repulsive_animal	an_attractive_animal	an_attractive_animal	i_nas_alv	inin	_n_n	i-a	n	i	sonorant	medium	voiced	753.194848
28	8	i_nas_alv	a_nas_alv	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	2859.329353
30	11	a_nas_alv	i_nas_alv	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	741.4685971
32	11	i_nas_alv	a_nas_alv	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	675.5138671
36	12	a_nas_alv	i_nas_alv	an_attractive_animal	a_repulsive_animal	an_attractive_animal	i_nas_alv	inin	_n_n	i-a	n	i	sonorant	medium	voiced	628.377706
38	13	a_nas_alv	i_nas_alv	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	667.8648422
46	11	i_nas_alv	a_nas_alv	an_attractive_animal	a_repulsive_animal	an_attractive_animal	i_nas_alv	inin	_n_n	i-a	n	i	sonorant	medium	voiced	635.5332908
50	10	a_nas_alv	i_nas_alv	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	1132.021137
52	12	a_nas_alv	i_nas_alv	an_attractive_animal	a_repulsive_animal	an_attractive_animal	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	1314.033386
54	12	i_nas_alv	a_nas_alv	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	551.2817106
56	6	a_nas_alv	i_nas_alv	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	a_nas_alv	anan	_n_n	i-a	n	a	sonorant	medium	voiced	646.9869814
1	10	i_occ_alv_NV	a_occ_alv_NV	a_bird	a_fish	a_bird	a_occ_alv_NV	atat	_t_t	i-a	t	a	plosive	medium	voiceless	535.9395568
3	4	a_occ_alv_NV	i_occ_alv_NV	a_bird	a_fish	a_bird	i_occ_alv_NV	itit	_t_t	i-a	t	i	plosive	medium	voiceless	822.0145222
5	5	a_occ_alv_NV	i_occ_alv_NV	a_bird	a_fish	a_fish	i_occ_alv_NV	itit	_t_t	i-a	t	i	plosive	medium	voiceless	555.1626095
7	6	i_occ_alv_NV	a_occ_alv_NV	a_bird	a_fish	a_fish	i_occ_alv_NV	itit	_t_t	i-a	t	i	plosive	medium	voiceless	1034.479528
11	5	i_occ_alv_NV	a_occ_alv_NV	a_bird	a_fish	a_fish	a_occ_alv_NV	atat	_t_t	i-a	t	a	plosive	medium	voiceless	771.0532205
13	9	i_occ_alv_NV	a_occ_alv_NV	a_fish	a_bird	a_fish	a_occ_alv_NV	atat	_t_t	i-a	t	a	plosive	medium	voiceless	889.4099232
17	13	a_occ_alv_NV	i_occ_alv_NV	a_bird	a_fish	a_bird	i_occ_alv_NV	itit	_t_t	i-a	t	i	plosive	medium	voiceless	605.7289418
19	12	a_occ_alv_NV	i_occ_alv_NV	a_fish	a_bird	a_fish	a_occ_alv_NV	atat	_t_t	i-a	t	a	plosive	medium	voiceless	887.0533503
21	5	a_occ_alv_NV	i_occ_alv_NV	a_fish	a_bird	a_bird	i_occ_alv_NV	itit	_t_t	i-a	t	i	plosive	medium	voiceless	1650.515413
23	13	i_occ_alv_NV	a_occ_alv_NV	a_fish	a_bird	a_fish	a_occ_alv_NV	atat	_t_t	i-a	t	a	plosive	medium	voiceless	606.6172089
25	11	i_occ_alv_NV	a_occ_alv_NV	a_fish	a_bird	a_bird	i_occ_alv_NV	itit	_t_t	i-a	t	i	plosive	medium	voiceless	759.1379274
29	8	a_occ_alv_NV	i_occ_alv_NV	a_fish	a_bird	a_fish	a_occ_alv_NV	atat	_t_t	i-a	t	a	plosive	medium	voiceless	593.5732901
31	6	i_occ_alv_NV	a_occ_alv_NV	a_bird	a_fish	a_bird	i_occ_alv_NV	itit	_t_t	i-a	t	i	plosive	medium	voiceless	547.5390069
35	11	i_occ_alv_NV	a_occ_alv_NV	a_fish	a_bird	a_bird	a_occ_alv_NV	atat	_t_t	i-a	t	a	plosive	medium	voiceless	578.4488156
37	5	i_occ_alv_NV	a_occ_alv_NV	a_bird	a_fish	a_bird	i_occ_alv_NV	itit	_t_t	i-a	t	i	plosive	medium	voiceless	950.3866069
39	5	i_occ_alv_NV	a_occ_alv_NV	a_fish	a_bird	a_bird	a_occ_alv_NV	atat	_t_t	i-a	t	a	plosive	medium	voiceless	3017.309509
43	11	a_occ_alv_NV	i_occ_alv_NV	a_fish	a_bird	a_bird	i_occ_alv_NV	itit	_t_t	i-a	t	i	plosive	medium	voiceless	576.611613
45	12	a_occ_alv_NV	i_occ_alv_NV	a_bird	a_fish	a_fish	i_occ_alv_NV	itit	_t_t	i-a	t	i	plosive	medium	voiceless	3001.629251
47	13	a_occ_alv_NV	i_occ_alv_NV	a_fish	a_bird	a_fish	i_occ_alv_NV	itit	_t_t	i-a	t	i	plosive	medium	voiceless	577.2515325
49	5	i_occ_alv_NV	a_occ_alv_NV	a_bird	a_fish	a_bird	i_occ_alv_NV	itit	_t_t	i-a	t	i	plosive	medium	voiceless	692.1590553
1	4	a_occ_bi_NV	a_occ_bi_V	a_large_animal	a_small_animal	a_large_animal	a_occ_bi_V	abab	a_a_	p-b	b	a	plosive	anterior	voiced	746.4098517
3	10	a_occ_bi_NV	a_occ_bi_V	a_small_animal	a_large_animal	a_large_animal	a_occ_bi_V	abab	a_a_	p-b	b	a	plosive	anterior	voiced	630.1418844
5	7	a_occ_bi_NV	a_occ_bi_V	a_small_animal	a_large_animal	a_large_animal	a_occ_bi_V	abab	a_a_	p-b	b	a	plosive	anterior	voiced	575.5550097
7	7	a_occ_bi_V	a_occ_bi_NV	a_large_animal	a_small_animal	a_large_animal	a_occ_bi_NV	apap	a_a_	p-b	p	a	plosive	anterior	voiceless	816.6975005
11	8	a_occ_bi_V	a_occ_bi_NV	a_large_animal	a_small_animal	a_large_animal	a_occ_bi_V	abab	a_a_	p-b	b	a	plosive	anterior	voiced	648.2449194
13	4	a_occ_bi_V	a_occ_bi_NV	a_small_animal	a_large_animal	a_small_animal	a_occ_bi_NV	apap	a_a_	p-b	p	a	plosive	anterior	voiceless	1242.611459
17	4	a_occ_bi_V	a_occ_bi_NV	a_small_animal	a_large_animal	a_small_animal	a_occ_bi_V	abab	a_a_	p-b	b	a	plosive	anterior	voiced	601.4302987
19	6	a_occ_bi_NV	a_occ_bi_V	a_small_animal	a_large_animal	a_small_animal	a_occ_bi_NV	apap	a_a_	p-b	p	a	plosive	anterior	voiceless	848.1344736
21	11	a_occ_bi_V	a_occ_bi_NV	a_small_animal	a_large_animal	a_large_animal	a_occ_bi_V	abab	a_a_	p-b	b	a	plosive	anterior	voiced	1725.01662
23	11	a_occ_bi_V	a_occ_bi_NV	a_large_animal	a_small_animal	a_small_animal	a_occ_bi_NV	apap	a_a_	p-b	p	a	plosive	anterior	voiceless	637.2688784
25	5	a_occ_bi_V	a_occ_bi_NV	a_large_animal	a_small_animal	a_small_animal	a_occ_bi_NV	apap	a_a_	p-b	p	a	plosive	anterior	voiceless	745.0484822
29	12	a_occ_bi_NV	a_occ_bi_V	a_large_animal	a_small_animal	a_small_animal	a_occ_bi_NV	apap	a_a_	p-b	p	a	plosive	anterior	voiceless	757.19983
31	13	a_occ_bi_NV	a_occ_bi_V	a_small_animal	a_large_animal	a_large_animal	a_occ_bi_V	abab	a_a_	p-b	b	a	plosive	anterior	voiced	2666.570766
35	10	a_occ_bi_V	a_occ_bi_NV	a_large_animal	a_small_animal	a_large_animal	a_occ_bi_V	abab	a_a_	p-b	b	a	plosive	anterior	voiced	794.3640677
37	4	a_occ_bi_V	a_occ_bi_NV	a_large_animal	a_small_animal	a_small_animal	a_occ_bi_NV	apap	a_a_	p-b	p	a	plosive	anterior	voiceless	814.3532953
39	6	a_occ_bi_V	a_occ_bi_NV	a_small_animal	a_large_animal	a_small_animal	a_occ_bi_NV	apap	a_a_	p-b	p	a	plosive	anterior	voiceless	736.6169145
43	13	a_occ_bi_NV	a_occ_bi_V	a_large_animal	a_small_animal	a_large_animal	a_occ_bi_V	abab	a_a_	p-b	b	a	plosive	anterior	voiced	586.0011148
45	5	a_occ_bi_NV	a_occ_bi_V	a_small_animal	a_large_animal	a_small_animal	a_occ_bi_NV	apap	a_a_	p-b	p	a	plosive	anterior	voiceless	1058.295146
47	12	a_occ_bi_V	a_occ_bi_NV	a_large_animal	a_small_animal	a_small_animal	a_occ_bi_NV	apap	a_a_	p-b	p	a	plosive	anterior	voiceless	522.1894528
49	7	a_occ_bi_V	a_occ_bi_NV	a_large_animal	a_small_animal	a_small_animal	a_occ_bi_NV	apap	a_a_	p-b	p	a	plosive	anterior	voiceless	638.1466342
2	12	i_occ_bi_NV	a_occ_bi_NV	a_small_animal	a_large_animal	a_small_animal	i_occ_bi_NV	ipip	_p_p	i-a	p	i	plosive	anterior	voiceless	596.7565506
4	12	i_occ_bi_NV	a_occ_bi_NV	a_small_animal	a_large_animal	a_small_animal	a_occ_bi_NV	apap	_p_p	i-a	p	a	plosive	anterior	voiceless	796.0402425
6	9	a_occ_bi_NV	i_occ_bi_NV	a_small_animal	a_large_animal	a_small_animal	a_occ_bi_NV	apap	_p_p	i-a	p	a	plosive	anterior	voiceless	494.2760905
8	9	a_occ_bi_NV	i_occ_bi_NV	a_small_animal	a_large_animal	a_small_animal	i_occ_bi_NV	ipip	_p_p	i-a	p	i	plosive	anterior	voiceless	439.4766673
10	11	i_occ_bi_NV	a_occ_bi_NV	a_small_animal	a_large_animal	a_small_animal	i_occ_bi_NV	ipip	_p_p	i-a	p	i	plosive	anterior	voiceless	565.5225248
12	9	i_occ_bi_NV	a_occ_bi_NV	a_large_animal	a_small_animal	a_large_animal	a_occ_bi_NV	apap	_p_p	i-a	p	a	plosive	anterior	voiceless	1070.965354
16	9	i_occ_bi_NV	a_occ_bi_NV	a_large_animal	a_small_animal	a_small_animal	i_occ_bi_NV	ipip	_p_p	i-a	p	i	plosive	anterior	voiceless	982.1267292
20	11	i_occ_bi_NV	a_occ_bi_NV	a_large_animal	a_small_animal	a_large_animal	a_occ_bi_NV	apap	_p_p	i-a	p	a	plosive	anterior	voiceless	549.6727681
22	4	a_occ_bi_NV	i_occ_bi_NV	a_small_animal	a_large_animal	a_small_animal	i_occ_bi_NV	ipip	_p_p	i-a	p	i	plosive	anterior	voiceless	538.682491
24	10	i_occ_bi_NV	a_occ_bi_NV	a_large_animal	a_small_animal	a_large_animal	a_occ_bi_NV	apap	_p_p	i-a	p	a	plosive	anterior	voiceless	1004.926687
26	7	a_occ_bi_NV	i_occ_bi_NV	a_large_animal	a_small_animal	a_small_animal	i_occ_bi_NV	ipip	_p_p	i-a	p	i	plosive	anterior	voiceless	855.3710526
